text
"On 12 March 2025 at 12:33, an incident occurred at Paint Shop. Dislocated shoulder during equipment maintenance Exposure to high-voltage wiring led to concussion. Frankie Smith from the Health & Safety department was involved. The incident was reported by Avery Robinson."
"The incident was reported by Avery Lewis. On 23 November 2024 at 23:41, an incident occurred at Electrical Bay. Peyton Parker from the Dockyard Operations department was involved. Hearing damage from loud machinery Exposure to toxic fumes led to burns."
"Exposure to asbestos led to burns. Minor cuts and bruises The incident was reported by Skyler Parker. Sydney Bailey from the Environmental Services department was involved. On 22 June 2024 at 04:05, an incident occurred at Fleet Garage."
"On 20 July 2025 at 00:40, an incident occurred at Maintenance Shed. Quinn West from the Training & Development department was involved. The incident was reported by Alex Sullivan. crane malfunction caused electrical fire, injuring two workers. Back strain from improper lifting"
"On 18 March 2024 at 05:41, an incident occurred at Maintenance Shed. Heat exhaustion from prolonged outdoor work The incident was reported by Jamie Lee. Exposure to toxic fumes led to burns. Logan Murphy from the Warehouse department was involved."
"Skyler Hughes from the Research & Development department was involved. Crush injury to hand from hydraulic press On 19 April 2024 at 02:10, an incident occurred at Electrical Bay. Worker fell from scaffolding while welding, resulting in a fractured leg. The incident was reported by Kai Ward."
"Fractured ankle due to fall from scaffolding Worker fell from ladder while welding, resulting in a fractured leg. On 28 May 2024 at 00:10, an incident occurred at Electrical Bay. The incident was reported by Alex Payne. Cameron Lee from the Research & Development department was involved."
"Dakota Smith from the Finance department was involved. Foreign object in eye from grinding debris On 04 February 2024 at 05:42, an incident occurred at Warehouse B. The incident was reported by Sydney Murray. forklift malfunction caused a steel beam to drop, injuring a contractor."
"The incident was reported by Emerson Parker. Skyler Davis from the Research & Development department was involved. On 10 June 2024 at 22:49, an incident occurred at Warehouse B. Concussion from falling object Exposure to high-voltage wiring led to a fractured leg."
"On 23 March 2024 at 16:29, an incident occurred at Paint Shop. Fractured wrist from fall on wet surface The incident was reported by Drew West. Worker fell from ship deck while repairing the hull, resulting in concussion. Morgan Morgan from the Environmental Services department was involved."
"Frankie Murphy from the Ship Maintenance department was involved. The incident was reported by Chris Sullivan. Worker fell from ladder while repairing the hull, resulting in burns. On 27 February 2024 at 12:47, an incident occurred at Reception Area. Eye irritation from chemical fumes"
"grinder malfunction caused a fuel leak, injuring the operator. Skyler Cooper from the Engineering department was involved. The incident was reported by Drew Hughes. On 10 January 2025 at 16:40, an incident occurred at Training Room. Fractured ankle due to fall from scaffolding"
"crane malfunction caused electrical fire, injuring the operator. Fractured wrist from fall on wet surface Finley Lee from the Customer Service department was involved. On 12 May 2024 at 09:01, an incident occurred at Training Room. The incident was reported by Sawyer West."
"The incident was reported by Elliot Hughes. On 11 February 2025 at 05:38, an incident occurred at Shipyard Pier. Fractured wrist from fall on wet surface Taylor Bennett from the Facilities department was involved. Exposure to high-voltage wiring led to a fractured leg."
"On 16 June 2025 at 21:48, an incident occurred at Training Room. grinder malfunction caused a steel beam to drop, injuring the operator. Dislocated shoulder during equipment maintenance Rowan Holmes from the Legal department was involved. The incident was reported by Peyton Parker."
"crane malfunction caused a steel beam to drop, injuring a contractor. On 02 April 2024 at 04:28, an incident occurred at Maintenance Shed. The incident was reported by Reese Smith. Jamie Cooper from the Operations department was involved. Severe abrasion from slip on deck"
"The incident was reported by Morgan Reed. On 13 December 2024 at 01:19, an incident occurred at Paint Shop. Rowan Murray from the Engineering department was involved. Exposure to high-voltage wiring led to a fractured leg. Dislocated shoulder during equipment maintenance"
"Severe abrasion from slip on deck forklift malfunction caused a fuel leak, injuring the operator. On 12 February 2025 at 00:54, an incident occurred at Dockyard South. The incident was reported by Riley Bennett. Logan Hughes from the HR department was involved."
"The incident was reported by Jamie Mitchell. Charlie Parker from the Legal department was involved. forklift malfunction caused electrical fire, injuring two workers. On 04 February 2024 at 13:20, an incident occurred at Training Room. Minor cuts and bruises"
"Exposure to asbestos led to concussion. Taylor Morgan from the Engineering department was involved. On 08 April 2025 at 20:04, an incident occurred at Warehouse B. Fractured ankle due to fall from scaffolding The incident was reported by Alex Cooper."
"On 02 November 2024 at 01:11, an incident occurred at Warehouse B. Riley West from the Communications department was involved. The incident was reported by Quinn Parker. Worker fell from scaffolding while painting, resulting in concussion. Eye irritation from chemical fumes"
"The incident was reported by Spencer Reed. Worker fell from ladder while painting, resulting in a fractured leg. On 11 July 2024 at 22:33, an incident occurred at Main Gate Security. Frankie Murphy from the Legal department was involved. Severe abrasion from slip on deck"
"Exposure to asbestos led to burns. Fractured ankle due to fall from scaffolding The incident was reported by Quinn Davis. On 27 February 2024 at 08:11, an incident occurred at Fuel Depot. Jamie Morgan from the Legal department was involved."
"Severe abrasion from slip on deck On 08 May 2024 at 22:35, an incident occurred at Fleet Garage. The incident was reported by Quinn Pearson. Kai Foster from the Warehouse department was involved. crane malfunction caused a steel beam to drop, injuring two workers."
"Worker fell from ladder while welding, resulting in a fractured leg. The incident was reported by Kai Robinson. Sawyer Fisher from the Engineering department was involved. On 01 April 2024 at 15:06, an incident occurred at Dockyard North. Burn from hot welding equipment"
"The incident was reported by Jordan Smith. Worker fell from ship deck while repairing the hull, resulting in a fractured leg. On 18 May 2025 at 15:08, an incident occurred at Warehouse B. Burn from hot welding equipment Casey Bennett from the Finance department was involved."
"On 15 April 2024 at 12:47, an incident occurred at Main Gate Security. Exposure to asbestos led to burns. Dislocated shoulder during equipment maintenance The incident was reported by Quinn Reed. Elliot Pearson from the Fleet Management department was involved."
"On 26 August 2024 at 11:30, an incident occurred at Cafeteria. The incident was reported by Logan Cooper. Skyler Cooper from the Procurement department was involved. grinder malfunction caused a steel beam to drop, injuring the operator. Puncture wound from misplaced tool"
"On 24 June 2024 at 05:21, an incident occurred at Dry Dock 1. The incident was reported by Finley Parker. Skyler Ward from the Security department was involved. crane malfunction caused electrical fire, injuring a contractor. Fractured wrist from fall on wet surface"
"On 29 April 2024 at 15:08, an incident occurred at Paint Shop. Rowan Ward from the Operations department was involved. The incident was reported by Casey Graham. forklift malfunction caused a steel beam to drop, injuring a contractor. Trip hazard fall resulting in bruising"
"On 08 February 2025 at 19:55, an incident occurred at Cafeteria. Emerson Payne from the Procurement department was involved. Exposure to toxic fumes led to concussion. Dislocated shoulder during equipment maintenance The incident was reported by Finley Lee."
"Puncture wound from misplaced tool Frankie Bennett from the Operations department was involved. On 14 May 2024 at 05:16, an incident occurred at Office - Admin Block. The incident was reported by Sydney Fisher. forklift malfunction caused electrical fire, injuring a contractor."
"Exposure to toxic fumes led to concussion. On 10 July 2024 at 11:28, an incident occurred at Paint Shop. Charlie Murphy from the Procurement department was involved. Hearing damage from loud machinery The incident was reported by Drew Pearson."
"The incident was reported by Cameron Hughes. grinder malfunction caused a steel beam to drop, injuring two workers. Riley Bennett from the Environmental Services department was involved. Chemical burn from solvent exposure On 08 March 2024 at 17:24, an incident occurred at Office - Admin Block."
"On 19 October 2024 at 09:53, an incident occurred at Warehouse A. Back strain from improper lifting Charlie Davis from the Operations department was involved. The incident was reported by Skyler Sullivan. grinder malfunction caused electrical fire, injuring two workers."
"Worker fell from ladder while painting, resulting in concussion. Logan Lewis from the Legal department was involved. The incident was reported by Skyler Lewis. On 06 November 2024 at 03:59, an incident occurred at Tool Crib. Fractured wrist from fall on wet surface"
